Floss Number,Color Name,Status,Quantity
803,Baby Blue Ult Vy Dk,Have,1
806,Peacock Blue Dark,Have,1
807,Peacock Blue,Have,1
809,Delft Blue,Have,1
813,Blue Light,Have,2
814,Garnet Dark,Have,1
815,Garnet Medium,Have,2
816,Garnet,Have,1
817,Coral Red Very Dark,Have,1
818,Baby Pink,Have,1
819,Baby Pink Light,Have,1
820,Royal Blue Very Dark,Have,1
822,Beige Gray Light,Have,1
823,Navy Blue Dark,Have,1
824,Blue Very Dark,Have,1
825,Blue Dark,Have,1
826,Blue Medium,Have,3
827,Blue Very Light,Have,2
828,Sky Blue Vy Lt,Have,1
829,Golden Olive Vy Dk,Have,1
830,Golden Olive Dk,Have,1
831,Golden Olive Md,Have,1
832,Golden Olive,Have,1
833,Golden Olive Lt,Have,1
834,Golden Olive Vy Lt,Have,1
838,Beige Brown Vy Dk,Have,3
839,Beige Brown Dk,Have,1
840,Beige Brown Med,Have,1
841,Beige Brown Lt,Have,2
842,Beige Brown Vy Lt,Have,1
844,Beaver Gray Ult Dk,Have,1
869,Hazelnut Brown V Dk,Have,1
890,Pistachio Grn Ult V D,Have,1
891,Carnation Dark,Have,1
892,Carnation Medium,Have,1
893,Carnation Light,Have,1
894,Carnation Very Light,Have,1
895,Hunter Green Vy Dk,Have,1
898,Coffee Brown Vy Dk,Have,1
899,Rose Medium,Have,1
900,Burnt Orange Dark,Have,2
902,Garnet Very Dark,Have,1
904,Parrot Green V Dk,Have,1
905,Parrot Green Dk,Have,1
906,Parrot Green Md,Have,2
907,Parrot Green Lt,Have,1
909,Emerald Green Vy Dk,Have,1
910,Emerald Green Dark,Have,1
911,Emerald Green Med,Have,1
912,Emerald Green Lt,Have,1
913,Nile Green Med,Have,7
915,Plum Dark,Have,1
917,Plum Medium,Have,1
918,Red‑Copper Dark,Have,1
919,Red‑Copper,Have,1
920,Copper Med,Have,1
921,Copper,Have,1
922,Copper Light,Have,1
924,Gray Green Vy Dark,Have,1
926,Gray Green Med,Have,2
927,Gray Green Light,Have,1
928,Gray Green Vy Lt,Have,1
930,Antique Blue Dark,Have,1
931,Antique Blue Medium,Have,3
932,Antique Blue Light,Have,1
934,Avocado Grn Black,Have,1
935,Avocado Green Dk,Have,1
936,Avocado Grn V Dk,Have,1
937,Avocado Green Md,Have,2
938,Coffee Brown Ult Dk,Have,1
939,Navy Blue Very Dark,Have,1
943,Green Bright Md,Have,1
945,Tawny,Have,1
946,Burnt Orange Med,Have,2
947,Burnt Orange,Have,1
948,Peach Very Light,Have,1
950,Desert Sand Light,Have,1
951,Tawny Light,Have,2
954,Nile Green,Have,2
955,Nile Green Light,Have,1
956,Geranium,Have,1
957,Geranium Pale,Have,1
958,Sea Green Dark,Have,1
959,Sea Green Med,Have,1
961,Dusty Rose Dark,Have,1
962,Dusty Rose Medium,Have,1
963,Dusty Rose Ult Vy Lt,Have,1
964,Sea Green Light,Have,1
966,Jade Ultra Vy Lt,Have,1
967,Apricot Very Light,Have,1
970,Pumpkin Light,Have,3
971,Pumpkin,Have,1
972,Canary Deep,Have,1
973,Canary Bright,Have,1
975,Golden Brown Dk,Have,1
976,Golden Brown Med,Have,1
977,Golden Brown Light,Have,1
986,Forest Green Vy Dk,Have,1
987,Forest Green Dk,Have,1
988,Forest Green Med,Have,1
989,Forest Green ,Have,1
991,Aquamarine Dk,Have,1
992,Aquamarine Lt,Have,1
993,Aquamarine Vy Lt,Have,2
995,Electric Blue Dark,Have,1
996,Electric Blue Medium,Have,1
3011,Khaki Green Dk,Have,1
3012,Khaki Green Md,Have,1
3013,Khaki Green Lt,Have,1
3021,Brown Gray Vy Dk,Have,1
3022,Brown Gray Med,Have,1
3023,Brown Gray Light,Have,1
3024,Brown Gray Vy Lt,Have,1
3031,Mocha Brown Vy Dk,Have,1
3032,Mocha Brown Med,Have,1
3033,Mocha Brown Vy Lt,Have,1
3041,Antique Violet Medium,Have,1
3042,Antique Violet Light,Have,1
3045,Yellow Beige Dk,Have,1
3046,Yellow Beige Md,Have,1
3047,Yellow Beige Lt,Have,1
3051,Green Gray Dk,Have,1
3052,Green Gray Md,Have,1
3053,Green Gray,Have,1
3064,Desert Sand,Have,1
3072,Beaver Gray Vy Lt,Have,1
3078,Golden Yellow Vy Lt,Have,1
3325,Baby Blue Light,Have,1
3326,Rose Light,Have,1
3328,Salmon Dark,Have,1
3340,Apricot Med,Have,1
3341,Apricot,Have,1
3345,Hunter Green Dk,Have,2
3346,Hunter Green,Have,1
3347,Yellow Green Med,Have,1
3348,Yellow Green Lt,Have,2
3350,Dusty Rose Ultra Dark,Have,1
3354,Dusty Rose Light,Have,2
3362,Pine Green Dk,Have,1
3363,Pine Green Md,Have,2
3364,Pine Green,Have,1
3371,Black Brown,Have,2
3607,Plum Light,Have,2
3608,Plum Very Light,Have,1
3609,Plum Ultra Light,Have,2
3685,Mauve Very Dark,Have,1
3687,Mauve,Have,1
3688,Mauve Medium,Have,2
3689,Mauve Light,Have,3
3705,Melon Dark,Have,1
3706,Melon Medium,Have,1
3708,Melon Light,Have,1
3712,Salmon Medium,Have,1
3713,Salmon Very Light,Have,1
3716,Dusty Rose Med Vy Lt,Have,1
3721,Shell Pink Dark,Have,1
3722,Shell Pink Med,Have,1
3726,Antique Mauve Dark,Have,1
3727,Antique Mauve Light,Have,1
3731,Dusty Rose Very Dark,Have,1
3733,Dusty Rose,Have,1
3740,Antique Violet Dark,Have,1
3743,Antique Violet Vy Lt,Have,1
3746,Blue Violet Dark,Have,1
3747,Blue Violet Vy Lt,Have,1
3750,Antique Blue Very Dk,Have,1
3752,Antique Blue Very Lt,Have,1
3753,Antique Blue Ult Vy Lt,Have,3
3755,Baby Blue,Have,1
3756,Baby Blue Ult Vy Lt,Have,2
3760,Wedgewood Med,Have,1
3761,Sky Blue Light,Have,1
3765,Peacock Blue Vy Dk,Have,1
3766,Peacock Blue Light,Have,1
3768,Gray Green Dark,Have,1
3770,Tawny Vy Light,Have,1
3771,Terra Cotta Ult Vy Lt,Have,1
3772,Desert Sand Vy Dk,Have,1
3773,Desert Sand Dark,Have,1
3774,Desert Sand Vy Lt,Have,1
3776,Mahogany Light,Have,1
3777,Terra Cotta Vy Dk,Have,1
3778,Terra Cotta Light,Have,1
3779,Rosewood Ult Vy Lt,Have,1
3781,Mocha Brown Dk,Have,2
3782,Mocha Brown Lt,Have,1
3787,Brown Gray Dark,Have,1
3790,Beige Gray Ult Dk,Have,1
3799,Pewter Gray Vy Dk,Have,1
3801,Melon Very Dark,Have,1
3802,Antique Mauve Vy Dk,Have,1
3803,Mauve Dark,Have,1
3804,Cyclamen Pink Dark,Have,1
3805,Cyclamen Pink,Have,1
3806,Cyclamen Pink Light,Have,1
3807,Cornflower Blue,Have,1
3808,Turquoise Ult Vy Dk,Have,1
3809,Turquoise Vy Dark,Have,1
3810,Turquoise Dark,Have,1
3811,Turquoise Very Light,Have,1
3812,Sea Green Vy Dk,Have,1
3813,Blue Green Lt,Have,1
3814,Aquamarine,Have,1
3815,Celadon Green Dk,Have,1
3816,Celadon Green,Have,1
3817,Celadon Green Lt,Have,1
3818,Emerald Grn Ult V Dk,Have,1
3819,Moss Green Lt,Have,1
3820,Straw Dark,Have,1
3821,Straw,Have,1
3822,Straw Light,Have,1
3823,Yellow Ultra Pale,Have,1
3824,Apricot Light,Have,1
3825,Pumpkin Pale,Have,1
3826,Golden Brown,Have,1
3827,Golden Brown Pale,Have,1
3828,Hazelnut Brown,Have,1
3829,Old Gold Vy Dark,Have,1
3830,Terra Cotta,Have,1
3831,Raspberry Dark,Have,1
3832,Raspberry Medium,Have,1
3833,Raspberry Light,Have,1
3834,Grape Dark,Have,1
3835,Grape Medium,Have,1
3836,Grape Light,Have,1
3837,Lavender Ultra Dark,Have,1
3838,Lavender Blue Dark,Have,1
3839,Lavender Blue Med,Have,1
3840,Lavender Blue Light,Have,1
3841,Baby Blue Pale,Have,1
3842,Wedgewood Vry Dk,Have,1
3843,Electric Blue,Have,1
3844,Turquoise Bright Dark,Have,1
3845,Turquoise Bright Med,Have,1
3846,Turquoise Bright Light,Have,1
3847,Teal Green Dark,Have,1
3848,Teal Green Med,Have,1
3849,Teal Green Light,Have,1
3850,Green Bright Dk,Have,1
3851,Green Bright Lt,Have,1
3852,Straw Very Dark,Have,1
3853,Autumn Gold Dk,Have,1
3854,Autumn Gold Med,Have,1
3855,Autumn Gold Lt,Have,1
3856,Mahogany Ult Vy Lt,Have,1
3857,Rosewood Dark,Have,1
3858,Rosewood Med,Have,1
3859,Rosewood Light,Have,1
3860,Cocoa,Have,1
3861,Cocoa Light,Have,1
3862,Mocha Beige Dark,Have,1
3863,Mocha Beige Med,Have,1
3864,Mocha Beige Light,Have,1
3865,Winter White,Have,1
3866,Mocha Brn Ult Vy Lt,Have,1
Ecru,Ecru,Have,1
B5200,Snow White,Have,1
White,White,Have,3
E168,Precious Metals Silver,Have,1
E3852,Precious Metals Gold,Have,1
E415,Antique Effects Pewter,Have,1
S712,Saton,Have,1
